"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"39582","United Arab Emirates",2020-10-10,263,105133,1129,443,1,95973,1070,8717,1063,11.4,88.1,4.5,0,206,189
"39917","Uruguay",2020-10-10,263,2268,17,50,1,1930,13,288,65.3,0.5,8.3,1.4,0,204,174
"40216","USA",2020-10-10,263,7717932,54639,214370,618,3062983,23894,4440579,2331.7,16.5,1341.6,64.8,0.2,220,220
"40290","Uzbekistan",2020-10-10,263,60776,434,502,4,57704,483,2570,181.6,1.3,7.7,1.5,0,196,160
"40566","Venezuela",2020-10-10,263,82453,757,691,7,73919,899,7843,290,2.7,27.6,2.4,0,198,172
"40781","Vietnam",2020-10-10,263,1107,2,35,0,1024,0,48,1.1,0,0,0,0,202,65
"41110","West Bank and Gaza",2020-10-10,263,43945,281,378,11,37240,318,6327,915.5,5.9,131.8,7.9,0.2,195,99
"41239","Western Sahara",2020-10-10,263,10,0,1,0,8,0,1,1.7,0,0.2,0.2,0,0,0
"41351","Yemen",2020-10-10,263,2051,0,595,2,1329,0,127,6.9,0,0.4,2,0,148,151
"41608","Zambia",2020-10-10,263,15415,76,337,1,14541,102,537,83.9,0.4,2.9,1.8,0,163,124
"41803","Zimbabwe",2020-10-10,263,8010,16,230,1,6492,18,1288,53.9,0.1,8.7,1.5,0,136,92
